Unnamed: 0,timestamp,item_id,session_id,user_id
0,1441869460,40,24,3
1,1441869578,90,24,3
2,1441869593,91,24,3
3,1441869657,92,24,3
0,1441956667,93,25,3
2,1441956751,95,25,3
3,1441956789,96,25,3
4,1441956941,97,25,3
1,1442315717,11,27,3
2,1442315805,34,27,3
4,1442315883,8,27,3
6,1442316072,105,27,3
8,1442316204,107,27,3
0,1441888709,127,33,4
2,1441888761,129,33,4
3,1441888769,130,33,4
6,1441889749,132,33,4
7,1441889773,122,33,4
0,1442316259,133,34,4
1,1442316309,134,34,4
2,1442316338,135,34,4
0,1442635056,129,35,4
2,1442635181,136,35,4
5,1442635304,132,35,4
6,1442635362,135,35,4
0,1441773949,228,53,7
1,1441774074,229,53,7
2,1441774319,230,53,7
0,1444143646,231,54,7
1,1444144060,232,54,7
2,1444144613,233,54,7
0,1445009102,234,55,7
1,1445009241,235,55,7
2,1445010050,236,55,7
3,1445010071,237,55,7
4,1445010111,238,55,7
5,1445010155,239,55,7
6,1445010452,240,55,7
2,1443439652,255,59,8
3,1443439702,256,59,8
6,1443439794,259,59,8
0,1443760825,255,60,8
3,1443760998,259,60,8
4,1443761048,261,60,8
0,1444070403,268,62,8
2,1444070678,251,62,8
4,1444070876,270,62,8
5,1444070908,271,62,8
6,1444070993,272,62,8
8,1444071126,273,62,8
11,1444071392,276,62,8
14,1444071518,279,62,8
15,1444071681,280,62,8
17,1444071836,282,62,8
1,1444072178,285,62,8
1,1444727995,295,63,8
3,1444728245,282,63,8
6,1444729895,297,63,8
2,1445339229,300,64,8
3,1445339472,299,64,8
5,1445340076,302,64,8
0,1442585490,1137,257,34
2,1442586802,1139,257,34
3,1442586828,1140,257,34
4,1442586955,1141,257,34
1,1443077691,1143,258,34
2,1443077725,1144,258,34
4,1443077823,245,258,34
0,1443262300,1146,259,34
4,1443263354,1148,259,34
9,1443265549,1151,259,34
0,1440935755,2443,561,70
3,1440936213,2446,561,70
6,1440936610,721,561,70
1,1441220887,721,564,70
2,1441220890,2443,564,70
4,1441222496,2454,564,70
0,1441458713,2457,565,70
1,1441458741,1024,565,70
2,1441458753,2458,565,70
0,1444241679,1400,567,70
1,1444241693,1405,567,70
2,1444242332,725,567,70
3,1444242339,2454,567,70
5,1444242428,528,567,70
0,1445363005,2454,569,70
3,1445363034,1048,569,70
9,1445363681,2478,569,70
0,1443432180,2665,617,77
1,1443432428,2666,617,77
4,1443432657,2669,617,77
0,1443669848,2671,619,77
1,1443669850,2670,619,77
2,1443669853,2669,619,77
3,1443863155,2674,620,77
7,1443863445,2677,620,77
11,1443863530,2680,620,77
12,1443863562,2681,620,77
14,1443863597,2666,620,77
0,1444329926,2669,621,77
2,1444330214,2674,621,77
6,1444330303,2684,621,77
9,1444330505,2671,621,77
0,1444941462,2680,622,77
1,1444941471,2671,622,77
4,1444941529,2686,622,77
6,1444941677,2687,622,77
11,1444941779,2691,622,77
12,1444941784,2692,622,77
0,1442561043,2925,687,87
1,1442561092,1646,687,87
2,1442561102,2926,687,87
0,1442857668,12,688,87
2,1442857920,2928,688,87
3,1442857987,2926,688,87
4,1442858020,8,688,87
5,1442858139,2929,688,87
6,1442858288,2930,688,87
0,1443289159,2926,689,87
1,1443289272,2931,689,87
3,1443289450,1306,689,87
0,1440527248,105,699,89
1,1440527313,2984,699,89
2,1440527325,36,699,89
4,1440527344,2986,699,89
5,1440527354,19,699,89
6,1440527373,2987,699,89
7,1440527381,2988,699,89
8,1440527466,2989,699,89
9,1440527495,2990,699,89
10,1440527523,2991,699,89
11,1440527535,2992,699,89
12,1440527541,37,699,89
14,1440527616,41,699,89
15,1440527623,40,699,89
16,1440527634,2994,699,89
