item_id,item_idx
6769,0
8901,1
11839,2
1739,3
5124,4
11559,5
784,6
8082,7
10210,8
13589,9
11235,10
32567,11
1846,12
3899,13
3366,14
30956,15
7187,16
2987,17
3015,18
2568,19
45076,20
22658,21
6911,22
6906,23
6907,24
6909,25
16065,26
6910,27
6915,28
3014,29
14728,30
22321,31
3626,32
7754,33
14242,34
1735,35
14308,36
3514,37
14155,38
44598,39
11810,40
3016,41
37,42
24605,43
6912,44
17884,45
5963,46
3526,47
3008,48
6118,49
12291,50
7424,51
11060,52
66,53
33584,54
1690,55
7303,56
5969,57
38088,58
10996,59
21633,60
11826,61
14908,62
10345,63
9178,64
8908,65
4962,66
14153,67
10001,68
7419,69
4947,70
10343,71
6913,72
18518,73
2989,74
9997,75
7778,76
8222,77
10775,78
7150,79
3970,80
2897,81
21564,82
466,83
30904,84
8245,85
2992,86
18203,87
11107,88
23966,89
9640,90
629,91
17767,92
12909,93
12920,94
2986,95
2990,96
8835,97
1218,98
8090,99
19810,100
21579,101
3427,102
2441,103
2143,104
4031,105
5009,106
44804,107
20822,108
5312,109
3963,110
21044,111
6293,112
2567,113
5487,114
23746,115
21138,116
7544,117
15420,118
5759,119
28979,120
1071,121
27262,122
21740,123
20589,124
5651,125
19915,126
9915,127
3968,128
20390,129
1826,130
17388,131
4836,132
7632,133
3908,134
5635,135
6035,136
20635,137
18570,138
3588,139
12483,140
27738,141
12903,142
857,143
3018,144
35540,145
14710,146
25773,147
1632,148
5616,149
33187,150
14771,151
14433,152
19618,153
9967,154
4125,155
4126,156
6139,157
30103,158
3005,159
13590,160
2996,161
23706,162
6536,163
10744,164
30828,165
12908,166
13717,167
2999,168
9742,169
50049,170
58459,171
23544,172
9890,173
11568,174
13912,175
8011,176
6809,177
29477,178
5666,179
14194,180
18267,181
5925,182
31082,183
35826,184
36308,185
16148,186
8655,187
13984,188
29811,189
11597,190
3537,191
36,192
28909,193
27218,194
2297,195
3990,196
23586,197
14652,198
5295,199
8127,200
10004,201
18843,202
7640,203
30927,204
22638,205
5076,206
15387,207
47402,208
25430,209
8779,210
7749,211
15450,212
13691,213
4657,214
13586,215
13705,216
15506,217
51287,218
17004,219
9204,220
229,221
10648,222
23202,223
8373,224
18497,225
2854,226
11484,227
34080,228
21542,229
12075,230
23497,231
23191,232
1813,233
6033,234
779,235
10791,236
20831,237
40,238
11854,239
5851,240
58458,241
50658,242
58460,243
915,244
97,245
17179,246
31262,247
15125,248
10268,249
12543,250
8098,251
24021,252
4996,253
2340,254
8119,255
5512,256
2749,257
3248,258
14942,259
56754,260
10489,261
56053,262
51750,263
8114,264
11811,265
7186,266
15422,267
2988,268
3461,269
6983,270
1815,271
11112,272
3023,273
5653,274
3013,275
3011,276
3003,277
12558,278
15078,279
8751,280
6148,281
2963,282
2585,283
2457,284
29862,285
2957,286
3422,287
5511,288
582,289
10341,290
5559,291
7883,292
10657,293
14459,294
2901,295
33646,296
1966,297
11815,298
8796,299
18835,300
1737,301
2323,302
2713,303
3001,304
1007,305
12314,306
10771,307
17883,308
8799,309
1940,310
24529,311
15424,312
4192,313
13392,314
23750,315
36135,316
10929,317
29899,318
13936,319
10923,320
1003,321
14180,322
4177,323
10921,324
3468,325
3584,326
6782,327
499,328
72,329
3922,330
11838,331
14776,332
2579,333
6210,334
2784,335
70,336
1887,337
11858,338
5437,339
32025,340
7536,341
6871,342
1838,343
19520,344
2446,345
11889,346
4128,347
21535,348
19933,349
8088,350
8966,351
3531,352
13712,353
4217,354
8781,355
3466,356
23242,357
13247,358
13713,359
9587,360
8909,361
5518,362
34501,363
11209,364
3304,365
13960,366
3691,367
20523,368
16588,369
4407,370
5059,371
19803,372
8232,373
1823,374
3527,375
20349,376
7539,377
2448,378
6641,379
1427,380
2991,381
17768,382
6115,383
1443,384
9230,385
3246,386
15988,387
15117,388
10114,389
3333,390
777,391
4408,392
32708,393
1521,394
228,395
8679,396
40708,397
56418,398
33009,399
1505,400
2877,401
5364,402
2578,403
9594,404
6537,405
11808,406
14780,407
230,408
3000,409
25532,410
108,411
21961,412
3982,413
3759,414
30770,415
5561,416
12139,417
3232,418
8925,419
11842,420
9010,421
15109,422
8998,423
3472,424
3458,425
1024,426
7555,427
17823,428
1778,429
8834,430
19661,431
7559,432
15145,433
56306,434
56307,435
56308,436
56309,437
23038,438
2563,439
1074,440
11159,441
2772,442
11569,443
3252,444
14115,445
9803,446
17845,447
1368,448
5414,449
5417,450
7096,451
1072,452
34053,453
7768,454
1484,455
3687,456
24596,457
874,458
6795,459
10798,460
130,461
23033,462
1633,463
18522,464
5502,465
10276,466
15989,467
5242,468
23587,469
5901,470
1829,471
7601,472
4845,473
1141,474
10508,475
6128,476
19730,477
18286,478
6099,479
17326,480
15713,481
7250,482
91,483
182,484
5678,485
3017,486
18381,487
18018,488
3022,489
101,490
41,491
9192,492
7044,493
30975,494
1572,495
7047,496
37963,497
15987,498
5648,499
7367,500
19129,501
5296,502
35265,503
21115,504
2450,505
8798,506
3764,507
5894,508
3765,509
172,510
8844,511
10661,512
22050,513
11550,514
995,515
18399,516
14994,517
533,518
30708,519
4839,520
8658,521
17141,522
1433,523
9804,524
26871,525
9090,526
16846,527
16856,528
12520,529
1767,530
10002,531
12230,532
25787,533
17842,534
6542,535
15960,536
18382,537
21119,538
12396,539
11541,540
6806,541
19864,542
13237,543
3229,544
1547,545
7570,546
20445,547
20028,548
3450,549
2443,550
8342,551
7062,552
4216,553
1779,554
95,555
8971,556
19710,557
21642,558
14990,559
10935,560
17339,561
1785,562
1962,563
6869,564
17905,565
552,566
19104,567
3378,568
6731,569
3629,570
1908,571
6263,572
14326,573
20516,574
3380,575
7547,576
22046,577
8115,578
11098,579
3517,580
5766,581
38525,582
21010,583
27930,584
3404,585
13117,586
5036,587
22059,588
1773,589
7905,590
8596,591
17618,592
35313,593
4057,594
7724,595
10934,596
12576,597
9754,598
10170,599
3790,600
5602,601
9758,602
9075,603
7766,604
18662,605
3430,606
3247,607
7274,608
19017,609
16061,610
8107,611
10797,612
2596,613
15964,614
7194,615
116,616
653,617
4405,618
9122,619
17469,620
20833,621
11793,622
1834,623
13594,624
10143,625
7240,626
12588,627
34764,628
2853,629
9277,630
11489,631
7244,632
12575,633
12450,634
7717,635
10884,636
10142,637
10806,638
1039,639
10710,640
23819,641
42204,642
11466,643
5381,644
3750,645
5628,646
13430,647
7248,648
652,649
5298,650
6104,651
12043,652
632,653
81,654
8129,655
13987,656
69,657
936,658
3456,659
29224,660
2599,661
19532,662
10529,663
9282,664
10289,665
17917,666
39,667
1434,668
24546,669
1143,670
1432,671
7557,672
9249,673
8102,674
5664,675
1334,676
2813,677
1341,678
16502,679
13120,680
1021,681
7193,682
21114,683
19708,684
1330,685
1438,686
13545,687
8364,688
22037,689
28620,690
12403,691
12393,692
1578,693
9273,694
13596,695
13595,696
18275,697
16376,698
14593,699
10041,700
5513,701
2532,702
6116,703
8471,704
5657,705
16466,706
8746,707
56419,708
42334,709
44762,710
8840,711
3966,712
14989,713
18193,714
14247,715
18280,716
3544,717
24484,718
14442,719
9274,720
7112,721
2060,722
10946,723
1656,724
5507,725
3253,726
1729,727
7776,728
33925,729
8031,730
2587,731
22584,732
26960,733
15336,734
1746,735
12761,736
9279,737
17063,738
8853,739
3949,740
23607,741
5541,742
3636,743
17572,744
21282,745
7635,746
10515,747
10521,748
4675,749
11027,750
15669,751
11936,752
10514,753
5340,754
6440,755
4995,756
29915,757
13718,758
17604,759
10301,760
7525,761
9275,762
9457,763
10500,764
3027,765
3442,766
3237,767
2069,768
17341,769
3918,770
23247,771
9370,772
20882,773
5768,774
5026,775
17903,776
1148,777
1151,778
11891,779
2411,780
3484,781
6803,782
17601,783
12933,784
10107,785
1078,786
13994,787
429,788
16830,789
